GEOID,NAMELSAD,neighborhood,court_count,courts_per_10k,courts_per_sqmi,median_household_income,income_q,total_population,pct_black,poverty_rate,LPA,OBESITY,MHLTH,area_sqmi,ALAND,city,has_court,lat,lon
17031691300,Census Tract 6913,Grand Crossing,1,4.056795131845842,4.000308905593817,55203.0,Q1 (lowest),2465,95.57809330628804,24.746450304259636,30.5,42.6,16.7,0.24998069489125047,647447,Chicago,Has court,41.75468109473708,-87.61984715195781
17031010202,Census Tract 102.02,Rogers Park,0,0.0,0.0,55119.0,Q1 (lowest),2609,36.37408968953622,22.9020979020979,23.8,33.9,15.5,0.13561954727203368,351253,Chicago,No court,42.016047611755155,-87.67332566371044
17031570100,Census Tract 5701,Archer Heights,0,0.0,0.0,73462.0,Q2,1358,0.0,23.5640648011782,33.5,34.1,16.0,0.5883208725291391,1523744,Chicago,No court,41.81620063958159,-87.71891318671622
17031570200,Census Tract 5702,Archer Heights,0,0.0,0.0,,nan,2082,0.0,5.187319884726225,27.7,30.1,14.3,0.6810406071379481,1763887,Chicago,No court,41.81438005827141,-87.73071820767962
17031570300,Census Tract 5703,Archer Heights,1,1.649892756970797,2.6423946123466715,60139.0,Q2,6061,0.01649892756970797,8.085671592229787,30.0,32.9,15.6,0.37844461055418016,980167,Chicago,Has court,41.8041448520412,-87.73079090816522
17031570400,Census Tract 5704,Archer Heights,2,11.210762331838565,11.178437169554803,72263.0,Q2,1784,0.5605381165919282,10.039259674705553,32.3,32.8,16.4,0.17891588686897392,463390,Chicago,Has court,41.80499209937769,-87.71913039075491
17031570500,Census Tract 5705,Archer Heights,0,0.0,0.0,74899.0,Q2,2736,5.1535087719298245,5.971810089020772,29.1,31.5,15.7,0.16355210912174112,423598,Chicago,No court,41.798601489025415,-87.73245521544627
17031690400,Census Tract 6904,Grand Crossing,0,0.0,0.0,46313.0,Q1 (lowest),3217,96.92259869443582,15.957446808510639,30.3,41.4,18.8,0.251381473582117,651075,Chicago,No court,41.76925900891923,-87.62020386941192
17031691400,Census Tract 6914,Grand Crossing,0,0.0,0.0,35495.0,Q1 (lowest),2793,92.69602577873255,28.15186246418338,37.1,47.1,20.3,0.2535471206816402,656684,Chicago,No court,41.75484549030819,-87.61016852133871
17031691500,Census Tract 6915,Grand Crossing,1,5.574136008918617,3.839738362870299,24101.0,Q1 (lowest),1794,95.20624303232998,45.20624303232999,40.2,48.9,21.3,0.26043441127912564,674522,Chicago,Has court,41.75505281750009,-87.6002665897047
