"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","IL","Illinois","Cook","17031","17031803800","BRFSS","Disability","Independent living disability among adults","%","Crude prevalence","5.5",,,"4.7","6.3","4,522","3,597","POINT (-88.0354428 42.109026)","17031803800","DISABLT","INDEPLIVE","CrdPrv","Independent Living Disability"
"2022","IL","Illinois","Cook","17031","17031813702","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Crude prevalence","37.9",,,"34.3","41.6","4,199","3,044","POINT (-87.7465073 41.8551811)","17031813702","RISKBEH","SLEEP","CrdPrv","Short Sleep Duration"
"2023","IL","Illinois","Cook","17031","17031801608","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Crude prevalence","4.8",,,"3.8","5.9","7,057","5,761","POINT (-87.8310901 42.1064279)","17031801608","SOCLNEED","FOODSTAMP","CrdPrv","Food Stamps"
"2023","IL","Illinois","Cook","17031","17031807400","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","10.3",,,"9.0","11.7","6,824","5,216","POINT (-87.7398439 42.0281935)","17031807400","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress"
"2022","IL","Illinois","Cook","17031","17031820502","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Crude prevalence","35.6",,,"32.1","39.2","5,380","4,293","POINT (-87.804806 41.7538582)","17031820502","RISKBEH","SLEEP","CrdPrv","Short Sleep Duration"
"2023","IL","Illinois","Cook","17031","17031820604","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","73.7",,,"70.8","76.4","3,689","2,797","POINT (-87.826879 41.749875)","17031820604","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","IL","Illinois","Cook","17031","17031814500","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","33.4",,,"29.9","37.1","5,395","4,124","POINT (-87.7745468 41.8302073)","17031814500","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031809000","BRFSS","Disability","Cognitive disability among adults","%","Crude prevalence","7.4",,,"6.0","9.3","4,001","3,055","POINT (-87.718914 42.0597569)","17031809000","DISABLT","COGNITION","CrdPrv","Cognitive Disability"
"2023","IL","Illinois","Cook","17031","17031816402","BRFSS","Disability","Independent living disability among adults","%","Crude prevalence","13.1",,,"11.3","14.9","4,460","3,223","POINT (-87.850982 41.8943837)","17031816402","DISABLT","INDEPLIVE","CrdPrv","Independent Living Disability"
"2023","IL","Illinois","Cook","17031","17031800600","BRFSS","Prevention","Cholesterol screening among adults","%","Crude prevalence","92.9",,,"91.5","93.9","2,429","1,672","POINT (-87.7143339 42.0887818)","17031800600","PREVENT","CHOLSCREEN","CrdPrv","Cholesterol Screening"
